                                        130,,NABIL,,,                                        588.50,,                                        -1.60,,                                        -0.27,,                                        595.00,,                                        597.00,,                                        585.40,,"                                        57,079.00",,                                        590.10,
                                        131,,NADEP,,,                                        587.00,,                                        -11.90,,                                        -1.99,,                                        610.80,,                                        610.80,,                                        587.00,,"                                        5,756.00",,                                        598.90,
                                        132,,NBF2,,,                                        8.15,,                                        -0.15,,                                        -1.81,,                                        8.14,,                                        8.19,,                                        7.98,,"                                        5,195.00",,                                        8.30,
                                        133,,NBF3,,,                                        7.24,,                                        -0.11,,                                        -1.50,,                                        7.22,,                                        7.25,,                                        7.18,,"                                        6,580.00",,                                        7.35,
                                        134,,NBL,,,                                        248.00,,                                        -1.00,,                                        -0.40,,                                        250.00,,                                        252.00,,                                        247.30,,"                                        38,289.00",,                                        249.00,
                                        135,,NBLD85,,,                                        820.00,,                                        10.00,,                                        1.23,,                                        820.00,,                                        826.20,,                                        820.00,,                                        250.00,,                                        810.00,
                                        136,,NEF,,,                                        9.35,,                                        -0.10,,                                        -1.06,,                                        9.30,,                                        9.48,,                                        9.30,,"                                        11,883.00",,                                        9.45,
                                        137,,NESDO,,,"                                        1,900.00",,                                        -147.00,,                                        -7.18,,"                                        2,060.00",,"                                        2,060.00",,"                                        1,900.00",,"                                        13,563.00",,"                                        2,047.00",
                                        138,,NFS,,,                                        308.10,,                                        -0.80,,                                        -0.26,,                                        313.90,,                                        317.00,,                                        306.00,,"                                        33,687.00",,                                        308.90,
                                        139,,NGPL,,,                                        251.80,,                                        -3.10,,                                        -1.22,,                                        252.00,,                                        259.00,,                                        248.10,,"                                        87,004.00",,                                        254.90,
                                        140,,NHDL,,,                                        403.00,,                                        -1.90,,                                        -0.47,,                                        405.00,,                                        413.10,,                                        395.10,,"                                        5,856.00",,                                        404.90,
                                        141,,NHPC,,,                                        186.40,,                                        -4.50,,                                        -2.36,,                                        190.10,,                                        193.00,,                                        185.30,,"                                        93,550.00",,                                        190.90,
                                        142,,NIBLGF,,,                                        8.31,,                                        -0.48,,                                        -5.46,,                                        8.62,,                                        8.62,,                                        8.30,,"                                        6,625.00",,                                        8.79,
                                        143,,NIBLPF,,,                                        8.90,,                                        -0.18,,                                        -1.98,,                                        8.90,,                                        8.90,,                                        8.90,,                                        253.00,,                                        9.08,
                                        144,,NIBSF2,,,                                        7.45,,                                        0.00,,                                        0.00,,                                        7.31,,                                        7.45,,                                        7.31,,"                                        17,450.00",,                                        7.45,
                                        145,,NICA,,,                                        750.00,,                                        0.00,,                                        0.00,,                                        755.00,,                                        760.00,,                                        743.00,,"                                        63,239.00",,                                        750.00,
                                        146,,NICAD8283,,,"                                        1,030.00",,                                        -6.00,,                                        -0.58,,"                                        1,030.00",,"                                        1,030.00",,"                                        1,030.00",,                                        100.00,,"                                        1,036.00",
                                        147,,NICAP,,,                                        396.00,,                                        0.00,,                                        0.00,,                                        396.00,,                                        396.00,,                                        396.00,,"                                        1,000.00",,                                        331.30,
                                        148,,NICBF,,,                                        9.00,,                                        0.00,,                                        0.00,,                                        9.10,,                                        9.13,,                                        9.00,,"                                        110,600.00",,                                        9.00,
                                        149,,NICFC,,,                                        8.02,,                                        -0.07,,                                        -0.87,,                                        7.94,,                                        8.02,,                                        7.94,,                                        730.00,,                                        8.09,
                                        150,,NICL,,,                                        804.00,,                                        35.10,,                                        4.56,,                                        770.00,,                                        810.00,,                                        770.00,,"                                        73,341.00",,                                        768.90,
                                        151,,NICLBSL,,,                                        650.00,,                                        -12.90,,                                        -1.95,,                                        650.10,,                                        663.00,,                                        638.10,,"                                        8,740.00",,                                        662.90,
                                        152,,NICSF,,,                                        8.22,,                                        -0.15,,                                        -1.79,,                                        8.30,,                                        8.36,,                                        8.20,,"                                        3,800.00",,                                        8.37,
                                        153,,NIFRA,,,                                        233.70,,                                        -0.80,,                                        -0.34,,                                        239.00,,                                        240.00,,                                        232.60,,"                                        203,672.00",,                                        234.50,
                                        154,,NIL,,,                                        877.70,,                                        17.70,,                                        2.06,,                                        875.00,,                                        880.20,,                                        861.00,,"                                        20,216.00",,                                        860.00,
                                        155,,NIMB,,,                                        176.90,,                                        -1.70,,                                        -0.95,,                                        182.00,,                                        182.00,,                                        176.90,,"                                        135,570.00",,                                        178.60,
                                        156,,NIMBPO,,,                                        155.00,,                                        -0.10,,                                        -0.06,,                                        157.00,,                                        157.00,,                                        155.00,,"                                        23,723.00",,                                        155.10,
                                        157,,NLBBL,,,                                        635.00,,                                        -7.00,,                                        -1.09,,                                        639.00,,                                        679.00,,                                        630.00,,"                                        4,719.00",,                                        642.00,
                                        158,,NLG,,,                                        836.00,,                                        50.00,,                                        6.36,,                                        774.00,,                                        842.00,,                                        774.00,,"                                        74,223.00",,                                        786.00,
                                        159,,NLIC,,,                                        763.00,,                                        17.00,,                                        2.28,,                                        760.00,,                                        769.80,,                                        747.00,,"                                        100,868.00",,                                        746.00,
                                        160,,NLICL,,,                                        634.00,,                                        16.90,,                                        2.74,,                                        629.40,,                                        644.00,,                                        623.00,,"                                        49,855.00",,                                        617.10,
                                        161,,NMB,,,                                        222.30,,                                        -4.20,,                                        -1.85,,                                        226.50,,                                        228.00,,                                        222.20,,"                                        43,989.00",,                                        226.50,
